Id	Text	Label
1241490299215634434	Official death toll from #covid19 in the United Kingdom is now GREATER than: Germany + Poland + Switzerland + Austria + Portugal + Greece + Sweden + Finland + Norway + Ireland... COMBINED. UK: 67.5 Million (233 dead) Above group: 185 Million (230 dead) HTTPURL	INFORMATIVE
1245916400981381130	Dearest Mr. President @USER 1,169 coronavirus deaths in the US in 24 hours (?) Covid19 pandemic is an international crime from China - not a nature disasster! Please use your authorities to protect your people and world against China! #ChinaHasToCompensateAll	INFORMATIVE
1241132432402849793	Latest Updates March 20 ⚠️5274 new cases and 38 new deaths in the United States Illinois: Governo Pritzker issues "stay at home" order for all residents New York: Governor Cuomo orders 100% of all non-essential workers to stay home Penns...Source ( /coronavirus/country/us/ )	INFORMATIVE
1236107253666607104	真把公主不当干部 BREAKING: 21 people on Grand Princess cruise ship docked off the California coast tested positive for coronavirus, including 19 crew members and two passengers, Vice Pres. Mike Pence says. 24 people tested negative. HTTPURL HTTPURL	INFORMATIVE
1239673817552879619	OKLAHOMA CITY — The State Department of Education announced Monday the closure of all K-12 public schools statewide until at least April 6 as the number of COVID-19 cases climb and the risk of community spread grows. HTTPURL	UNINFORMATIVE
1240790181860409344	Democrats somehow managed to fight ebola without calling it "the African virus." A cluster of COVID-19 cases has emerged in New York CIty's Hassidic neighborhood, so it's only a matter of time before the local Trump Klux Klan starts talking about "the Jew virus."	UNINFORMATIVE
1249147011003187200	as number of #COVID19 deaths surpassed 100,000 worldwide, NY surpassed Italy on number of recorded deaths 🔥😷🇺🇸 New York state has more coronavirus cases than any country worldwide HTTPURL	INFORMATIVE
1241533144802758656	@USER @USER 1 week ago today (March 14), there were only 115 cases of CoVid in FL. Today, last count was at 763... that is a 563% increase in 1 week due to your “slave to Trump” incompetence. Imagine next Saturday if there is another 563% increase-we will be at 9300+. Resign	INFORMATIVE
1236363091002011649	“Coronavirus impact: Close Taj Mahal till March end, Agra Mayor urges” “people scared of foreigners and looked at them with suspicion, situation could turn nasty and tarnish India's image internationally," he said. Not possible to tarnish India further. HTTPURL	UNINFORMATIVE
1245725162957242368	Dear @USER In #COVID2019 case...give tools &amp; machines to #Bangladesh, "not money". Bcoz, #Climate Fund money was stolen by the Ruling Party. @USER @USER @USER @USER @USER @USER @USER @USER @USER HTTPURL	UNINFORMATIVE
1240721152076546049	Los Angeles is now the county with the highest number of coronavirus cases in California. @USER breaks down the impact of #COVID19 on LA, from cancelled college commencements to haphazard health screenings at LAX airport. #CheddarLive HTTPURL	UNINFORMATIVE
1246739551227387905	#COVID19 Updates. #SothSudan's fist positive patient is a 29 yo Dutch, who arrived in the country from Netherlands via Addis Ababa on 28 February. #SSOT HTTPURL	INFORMATIVE
1242799513619664896	Watch Live !! Discussion on #COVID19 with Union Health Minister Dr Harsh Vardhan, Union Health Secretary Ms Preeti Sudan &amp; DG ICMR, Dr Balram Bhargava HTTPURL	UNINFORMATIVE
1251122786225045504	Coronavirus cases in Africa could shoot up from thousands now to 10 million within three to six months according to very provisional modelling, a regional @USER official said on Thursday. @USER HTTPURL HTTPURL HTTPURL	UNINFORMATIVE
1241449715654410240	“According to their report if you come in contact with someone who tests positive for COVID-19 you have a 1–5% chance of catching it as well.” Who’s report? The World Health Organization. This is a long read but very worth while HTTPURL	UNINFORMATIVE
1241173819693252608	Senators urge Jeff Bezos to give Amazon warehouse workers sick leave, hazard pay - CNBC: * Senators urge Jeff Bezos to give Amazon warehouse workers sick leave, hazard pay CNBC * Amazon warehouse workers fear catching coronavirus just to get you your… HTTPURL HTTPURL	UNINFORMATIVE
1245311331579899906	A @USER professor has died after contracting #coronavirus A book of condolence will be available online soon for Professor Peter Sinclair from the Department of Economics. HTTPURL	INFORMATIVE
1240108182409601024	EU imposes entry ban for 30 days while death toll in the United States mounts to 100; death toll in Italy due to #coronavirus crosses 2100; Spain, Colombia, Malaysia and Canada seal borders #COVID19 #CoronavirusPandemic #CuarentenaNacional #CuarentenaCoronavirus #CoronaAlert HTTPURL	INFORMATIVE
1248321628808728576	إِنَّا لِلّهِ وَإِنَّـا إِلَيْهِ رَاجِعُونَ Sad to hear about passing away of Syed Mehdi Shah Brother in law of CM Sindh @USER He was tested positive with #Covid_19 May Allah rest his soul in peace.	INFORMATIVE
1236128165745094663	@USER Carma &amp; her family in San Jose, CA, are possibly infected with #coronavirus since 6 Feb in Seattle. Way way more than 1,000 cases in Seattle now... HTTPURL	INFORMATIVE
1244684987351404551	I think the President Cyril Ramaphosa should address us every day, Monday - Friday at 18:30 throughout this ordeal 🤷‍♂️ #Covid_19 #CoronavirusInSA #LockdownSA	UNINFORMATIVE
1242951300184076288	Day 8 shout out goes to Kevin ⁦@USER for his GREAT coverage of COVID 19 and community responses and needs coupled with applause to ⁦@USER med students who are tracking positive peeps contacts!!! HTTPURL	UNINFORMATIVE
1241183452243693568	@USER We don’t want to argue. We want you racists in the @USER to freaking STOP CALLING IT THE “CHINESE VIRUS.” That is disgusting. It is stirring up bigotry and hatred. We are not arguing. And people are DYING. You are HATEFUL #racist scum. STFU. #COVID2019 #CoronaCrisis	UNINFORMATIVE
1241076120742768640	Half of Uruguay’s COVID-19 cases can be traced to a single fashion designer HTTPURL	UNINFORMATIVE
1244676665990696961	E don happen!!! Casala don burst!!! Governor of Oyo State, Seyi Makinde, has tested positive to the deadly coronavirus, few days after holding a political rally in the state. #Coronavirustruth	INFORMATIVE
1248774057018806272	The line of cars just seems to get longer. These folks demand @USER release migrants held here in Eloy to try and stop spread of COVID. Human Rights Groups say at least two migrants in the detention center tested positive for virus. @USER HTTPURL	INFORMATIVE
1244181629784002561	Trump was Wrong! He bed his election on shutting down Virus!CDC issues domestic travel advisory as coronavirus deaths double to over 2,000 within two days HTTPURL	INFORMATIVE
1246972644416786440	Most #workplaces to close for one month from Apr 7 to curb spread of #COVID-19” &amp; all the #Singapore Morning #news you need to know on one page for April 6, 2020 via @USER #SARSCovs #coronaVirus #Covip19 #Independentjournalism in #Cambodia HTTPURL	UNINFORMATIVE
1241782755412914177	Kentucky Republican Rand Paul is the first US Senator to tested positive for COVID-19. House members Diaz-Balart (R-FL) and McAdams (D-UT) tested positive for coronavirus earlier this month.	INFORMATIVE
1245114106497163270	Writing in FP, @USER &amp; @USER have penned their case against lifting Iran sanx over the #COVID pandemic. Mark and Rich are two of the smartest &amp; most influential advocates of the "max pressure" policy, and well worth reading. A few thoughts: HTTPURL	UNINFORMATIVE
1236091525102268419	I have a place in Philly and most of my family live in the general area. I’m traveling, a friend sent me this: “One floor of Doylestown Hospital is quarantined, Central Bucks school district shut down. Coronavirus has arrived WTH.”	UNINFORMATIVE
1236148083504775168	On Friday, AIPAC announced that two attendees had tested positive for COVID-19 coronavirus. Mike Pence and Mitch McConnell were both in attendance. Others are being self quarantined but not attendees from the US. Why? HTTPURL	INFORMATIVE
1235899315207450625	As #coronavirus spreads, Democratic Republic of Congo discharges last #Ebola patient HTTPURL via @USER	UNINFORMATIVE
1245292834057576448	The city of #STL will start tracking positive cases of #COVID19 by zip code. @USER has your info this morning, LIVE, from city hall. #TISL @USER HTTPURL	UNINFORMATIVE
1245880624482664449	THREAD: Join @USER speaks to human rights lawyer @USER and infectious diseases doctor Daisy Tagarda • Gov't eyes mass testing for suspected COVID-19 cases on April 14 • NBI probes netizens spreading fake news • Dr. Tagarda shares story from the frontlines HTTPURL	UNINFORMATIVE
1241182759449739265	Check your email and visit the Residence Life COVID19 Plan for details on staying and checking out: HTTPURL HTTPURL	UNINFORMATIVE
1245863053662367747	The LSS CHOICES crisis hotline is available to help anyone experiencing #domesticviolence in Franklin County. Call 614-224-4663 24/7 Love shouldn't hurt. #lssnetworkofhope Experts fear domestic violence cases could rise during coronavirus outbreak HTTPURL	UNINFORMATIVE
1238874923965136896	#SurgeonGeneral just said 98% to 99% will recover. #CoronaVirusUpdates #coronavirus HTTPURL If 99% will recover why is the world economy shutting down? Why did the media lie that this virus has a 3.5% mortality rate? It's a #NWO control plan.	UNINFORMATIVE
1249803325199040515	Inside Louisiana's horrifying 'Cancer Alley,' an 85-mile stretch of pollution and environmental racism that's now dealing with some of the highest coronavirus death rates in the country HTTPURL James Pasley Apr 9, 2020, 7:42 PM (continued 4) HTTPURL	UNINFORMATIVE
1242812989130055680	@USER issues "Stay at Home" order issued for VT! HTTPURL Effective 5:00pm today until April 15th. Please read the order for businesses that are deemed "essential". #vermontstrong #covid19 #thankyourgrocers #thankyournurses #thankyourdoctors #STAYHOME	UNINFORMATIVE
1245771047435218945	@USER @USER @USER @USER @USER @USER They both are relief hospitals provided by the Federal Government and federal protocols govern who can be admitted. Guess the Feds are not that keen to ensure non-Coronavirus cases get admitted to their hospitals so @USER can put Corona patients in our regular hospitals	UNINFORMATIVE
1244578159976054785	3. St. Xavier’s School, Shivajinagar 4. St. Lourdes School, Cubbonpet 5. St. Lourdes School, Halasuru (Ulsoor) Please share #COVID2019	UNINFORMATIVE
1236152372088442880	UsaT: AIPAC says 2 pple at DC conf. attended by Pence &amp; others, tested positive for coronavirus The American Israel Public Affairs Committee told conf. attendees, some of whom include lawmakers, that at least 2 conf-goers have tested positive for covid-19 HTTPURL	INFORMATIVE
1245730086457876487	MOTORHOMES / RV'S FOR OVERWORKED HEALTHCARE WORKERS? A thought occurred to me in reading about how #healthcare workers are a) so overworked and tired after their shifts, and b) so anxious over bringing #covid19 back to their families, c) in some cases s…HTTPURL	UNINFORMATIVE
1236128441956630534	#Australia Melbourne GP clinic closed after doctor tests positive for #coronavirus after seeing 70 patients this month - ABC News HTTPURL via @USER	INFORMATIVE
1245717847415930880	🚨Senator Loeffler and her husband “sold shares in retail stores such as Lululemon and T.J. Maxx and invested in a company that makes COVID-19 protective garments.” In case governors were still wondering why price gouging on PPE products hasn’t halted.🤨 HTTPURL	UNINFORMATIVE
1241410720555765762	Georgia in the coronavirus age: Chaos, bad news, mounting deaths More than 300 patients from Cruise Ship with + covid land in Atlanta. During flight, 3 found to test positive, 1 sick. CDC screened remaining patients &amp; released them to fly home. Crazy HTTPURL	INFORMATIVE
1245640235871956993	According to CMO Lucknow Dr Narendra Agarwal: Samples were taken of 25 people who had attended the Tabglighi Jamaat event. All 25 people have been tested negative for COVID19. @USER @USER	INFORMATIVE
1246018084478939136	(Update) The Indian #Rupee fell against the US #Dollar recently. Indian #coronavirus cases risk exponentially growing with manufacturing slowing. $USDINR may rise but it faces fading momentum #India #RBI - ... HTTPURL	UNINFORMATIVE
1245863461646561282	#Yemen If Any Covid19 Case Shows Up In Yemen, God Forbid, Then We Hold The SaudiCo Regimes &amp; Their Masters Full Responsibility. Game Over Gestapo, Your Biological Warfare Isn't Going To Break Will Of The People Of Yemen. Cholera &amp; Diptheria are examples HTTPURL	UNINFORMATIVE
1244711847074213889	When you divide the coronavirus stimulus package by the population of America and remember that the virus was first announced 6666 days after the 9/11 Attacks. 🧐 HTTPURL	UNINFORMATIVE
1236113067039027200	Mathematically, the overall death rate from #Covid19 is 3.3% (3412 dead out of 100,775 cases. Death rate China is 3.7% Death rate S. Korea is 4.6% 👉🏼But the death rate in Iran is horrific. It is 25.9%⁉️ HTTPURL	INFORMATIVE
1242841682648936449	A California Highway Patrol officer stationed in Oakland has tested positive for the coronavirus, the latest Bay Area law enforcement officer to be diagnosed with the virus, authorities said. HTTPURL	INFORMATIVE
1243534385598496768	SAD! 2 #coronavirusindia suicides! Man commits suicide over coronavirus suspicion in Dakshina Karnataka. Another middle-aged man from Uppoor village in neighbouring Udupi district ended his life on Wednesday after suspecting that he had the Covid-19 infection -- PTI	INFORMATIVE
1237344256458657792	It will get worse since @USER and the politically correct gang who are pawns of the UN's @USER will promote the spread of the virus through international travel into Canada Ontario confirms three new COVID-19 cases HTTPURL	INFORMATIVE
1241636547365134336	Just read this ‘Incredibly worrying. COVID-19 cases confirmed in Gaza’ and geno felt bad for Paul he’s been through so much lol good eyes old man	INFORMATIVE
1236183073273688064	Heard about the news regarding an employee in BGC, specifically NetLima building (where I worked before) who’s tested positive for #COVID19. To my BGC friends and hangout buddies, my ex-officemates and colleagues who are still working there, you guys take care and be vigilant. 😔	INFORMATIVE
1245659811108159495	Come on &amp; HE MUST stop another HATEFUL USELESS EPISODE especially at such a time of disaster with the Corona virus. HE MUST STOP THE HATE &amp; SHAMEFUL &amp; DISGRACEFUL ACTIONS. ADAM SCHIFF MUST FORGET &amp; MUST STOP THE HATING ESPECIALLY AT SUCH A TIME OF DISASTER WITH THE CORONA VIRUS.	UNINFORMATIVE
1250494185729335296	@USER It's what they do.. remember the imaginary extra 20,000 police.. the 20 hospitals that were 8 then 2. Imaginary help for SME's, Self-Employed.. imaginary #Covid19 testing.. imaginary #PPE.. imaginary ventilators.. invisible care home deaths.. HTTPURL	UNINFORMATIVE
1241313082376425472	The corona virus cases in Ghana is moving like the Eve people's dance.... It moves forward, comes back and move forward again ... 19 #Covid_19 cases now ehii 🙊🙊💔	UNINFORMATIVE
1241179161588387840	An update on our efforts to secure COVID-19 test kits for the City of Mobile: HTTPURL	UNINFORMATIVE
